REF_DATE,GEO,DGUID,Companies,Diesel fuel consumption,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1993,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,885216
1993,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,822648
1993,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1993,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,58561
1993,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,4007
1993,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,285326026
1993,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,808162
1993,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,755527
1993,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1993,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,49177
1993,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,3458
1993,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,235016513
1993,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,61715
1993,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1993,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,61715
1993,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,0
1993,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1993,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,14839867
1993,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,151703
1993,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,132900
1993,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,5287
1993,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,10715
1993,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,2801
1993,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,43374179
1994,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,1986748
1994,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1790386
1994,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,57468
1994,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,127704
1994,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,11190
1994,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,621047713
1994,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,877719
1994,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,812258
1994,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1994,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,60817
1994,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,4645
1994,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,304455808
1994,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,885911
1994,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,829454
1994,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1994,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,54390
1994,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,2068
1994,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,253589040
1994,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,53036
1994,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1994,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,53036
1994,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,0
1994,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1994,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,15902033
1994,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,170082
1994,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,148675
1994,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,4432
1994,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,12498
1994,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,4477
1994,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,47100832
1995,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,1998053
1995,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1804773
1995,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,53673
1995,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,130415
1995,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,9193
1995,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,623650907
1995,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,884088
1995,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,815222
1995,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1995,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,65907
1995,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,2960
1995,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,301603302
1995,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,889738
1995,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,836672
1995,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1995,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,50845
1995,Canada,2016A000011124,Canadian Pacific,"Diesel, work train",Litres,203,thousands,3,2222
1995,Canada,2016A000011124,Canadian Pacific,Total cost of diesel fuel,Dollars,81,units ,0,259554505
1995,Canada,2016A000011124,VIA Rail,Total diesel,Litres,203,thousands,3,49309
1995,Canada,2016A000011124,VIA Rail,"Diesel, freight",Litres,203,thousands,3,0
1995,Canada,2016A000011124,VIA Rail,"Diesel, passenger",Litres,203,thousands,3,49309
